               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.024225,            0.021108,           0.0015574,             0.91686,             0.83382,             0.87922,             0.57331,            0.031001,            0.036129,           0.0017046,            0.005974,            0.005974,            0.005974
                 124,            0.023923,              0.0202,           0.0015078,             0.91841,             0.83256,             0.88448,             0.58246,            0.029838,            0.034192,           0.0016566,            0.005941,            0.005941,            0.005941
                 125,            0.023822,            0.020099,           0.0015674,             0.91081,              0.8372,             0.88735,             0.57743,            0.030091,            0.037301,           0.0017098,            0.005908,            0.005908,            0.005908
                 126,            0.023631,            0.019908,           0.0015729,              0.9303,             0.81413,             0.87803,             0.58014,             0.02999,            0.036782,            0.001664,            0.005875,            0.005875,            0.005875
                 127,            0.023574,            0.019954,           0.0016206,             0.91392,             0.82392,             0.87683,             0.57166,            0.030145,            0.036629,           0.0016484,            0.005842,            0.005842,            0.005842
                 128,            0.023914,            0.020579,           0.0016322,             0.92391,             0.81806,             0.88105,             0.57609,             0.03011,            0.035916,           0.0016479,            0.005809,            0.005809,            0.005809
                 129,             0.02365,            0.019662,           0.0015696,             0.91692,             0.82884,             0.87919,              0.5731,            0.030376,            0.037123,           0.0016864,            0.005776,            0.005776,            0.005776
                 130,            0.023476,            0.019495,           0.0015102,             0.92059,             0.83817,             0.88043,              0.5789,            0.030366,            0.038036,           0.0016566,            0.005743,            0.005743,            0.005743
                 131,            0.023854,            0.020518,           0.0015971,               0.931,             0.82973,             0.88093,             0.57228,            0.030192,            0.037109,           0.0016835,             0.00571,             0.00571,             0.00571
                 132,            0.023806,            0.019969,           0.0015714,             0.92193,             0.83652,             0.88245,             0.57975,            0.029997,            0.036629,           0.0016559,            0.005677,            0.005677,            0.005677
                 133,            0.023633,            0.020898,           0.0016186,             0.92542,             0.82875,             0.88343,             0.58131,             0.03013,            0.036567,           0.0016412,            0.005644,            0.005644,            0.005644
